采购项目名称	预算金额	行政区域	网址
莆田市忠湄轮渡有限责任公司关于新建2艘钢铝结构双体高速客船公开招标公告	￥3956.000000万元（人民币）	湄洲岛管委会	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181113_11101720.htm
长江航道局2019年度长江航道疏浚维护市场化项目施工（包2、包3、包4、包5、）公开招标公告	￥9573.070000万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181129_11232935.htm
福建省地方志编纂委员会志书印刷出版服务类采购项目招标公告	￥81.778000万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181229_11449203.htm
乐亭县水产中心海洋渔船救生设备更新采购项目（二次）招标公告	￥288.486000万元（人民币）	乐亭县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181120_11146453.htm
中华人民共和国江苏海事局本级长航系统信息化运维相关项目数据展示系统软件开发公开招标公告	￥170.000000万元（人民币）	南京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181010_10854510.htm
长寿区移民局三峡长寿库区30米巡库监测船建造项目招标(18A1080)采购公告	￥746.000000万元（人民币）	长寿区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181213_11336670.htm
广州海洋地质调查局船舶租赁服务采购项目公开招标公告	￥700.000000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181022_10942995.htm
阳江渔政支队中国渔政44602船中国渔政44602艇2018年度坞检服务采购项目公开招标公告	￥242.672800万元（人民币）	阳江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181102_11022256.htm
莆田市忠湄轮渡有限责任公司关于船舶坞检修理项目公开招标公告	￥91.598100万元（人民币）	湄洲岛管委会	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181113_11101704.htm
长江航道局2019年度长江航道疏浚维护市场化项目施工（南京至浏河口段航道疏浚维护）公开招标公告	￥29656.000000万元（人民币）	湖北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181129_11232950.htm
交通运输部海事局海事业务系统技术支持服务项目公开招标公告	￥781.000000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201812/t20181228_11439452.htm
乐亭县水产中心海洋渔船北斗终端采购项目（二次）招标公告	￥276.250000万元（人民币）	乐亭县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181120_11146421.htm
拱北海关后勤管理中心九洲海关208艇维修工程项目（第二次）公开招标公告	￥97.485100万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181009_10849849.htm
三峡枢纽水运新通道及葛洲坝船闸扩能工程闸室船舶安全控制标准研究公开招标公告	￥200.000000万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181022_10941239.htm
珠海万山海洋开发试验区管理委员会经济发展局执法快船采购项目采购预公告	￥800.000000万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181213_11336309.htm
2018年海安航道维护疏浚施工船舶租赁服务项目（GZSW18171FG4042）招标公告	￥280.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181101_11017018.htm
滦南县水产局海洋渔船通导与救生设备（三次）招标公告	￥139.750000万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181113_11098370.htm
唐山市丰南区农牧局2017/2018年度渔船报废拆解费招标公告	￥42.770000万元（人民币）	丰南区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181128_11224855.htm
山东海事局信息系统运行维护公开招标公告	￥640.000000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181228_11438595.htm
山海关区2017年度海洋捕捞渔船渔业船舶减船转产----渔船报废拆解项目竞争性磋商公告	￥20.000000万元（人民币）	山海关区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11141404.htm
葛洲坝上下游引航道通航水流条件及施工期通航条件研究公开招标公告	￥360.000000万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181022_10941137.htm
航海工程系特色专业实训基地建设项目（重）（GXZC2018-G1-21641-NNPZ）公开招标公告	￥365.000000万元（人民币）	南宁市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181213_11335298.htm
广州航海学院教学训练游艇采购（项目编号：1371-1841GDGH1175）招标公告	￥349.950000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181009_10848964.htm
